;Scopy version,438f138
;Exported on,Wednesday April 02/04/2025
;Device,M2K
;Nr of samples,256
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Sample,Hamming,1,Sample,Hamming,1,
Sample,Frequency(Hz),Amplitude CH1(dBV),Amplitude CH2(dBV)
233,364.063,-55.1809,-61.0578
234,365.625,-63.1107,-56.1816
235,367.188,-69.4941,-68.8255
236,368.75,-60.0994,-58.509
237,370.313,-60.1679,-56.8038
238,371.875,-64.9619,-63.6078
239,373.438,-63.8887,-68.8856
240,375,-61.0979,-65.9412
241,376.563,-54.6924,-65.5905
242,378.125,-52.8117,-84.3121
243,379.688,-51.694,-54.3062
244,381.25,-53.6908,-52.124
245,382.813,-52.4467,-58.7167
246,384.375,-40.9047,-60.2131
247,385.938,-47.9509,-62.2288
248,387.5,-50.7865,-63.8494
249,389.063,-52.5092,-65.7337
250,390.625,-56.7083,-60.379
251,392.188,-57.109,-72.9413
252,393.75,-54.6477,-60.2457
253,395.313,-52.3295,-63.9536
254,396.875,-54.1622,-62.1664
255,398.438,-56.3377,-60.7073
